MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
533,SANTANA DO ARAGUAIA,PA,1/1/1980,
534,SOBRADO,PB,1/1/1997,
535,SANTARÉM,PA,1/1/1980,
536,SOSSÊGO,PB,1/1/1997,
537,SANTARÉM NOVO,PA,1/1/1980,
538,TENÓRIO,PB,1/1/1997,
539,SANTO ANTÔNIO DO TAUÁ,PA,1/1/1980,
540,VIEIRÓPOLIS,PB,1/1/1997,
541,SÃO CAETANO DE ODIVELAS,PA,1/1/1980,
542,ZABELÊ,PB,1/1/1997,
543,SÃO DOMINGOS DO CAPIM,PA,1/1/1980,
544,ARAÇOIABA,PE,1/1/1997,
545,SÃO FÉLIX DO XINGU,PA,1/1/1980,
546,CASINHAS,PE,1/1/1997,
547,SÃO FRANCISCO DO PARÁ,PA,1/1/1980,
548,JAQUEIRA,PE,1/1/1997,
549,SÃO JOÃO DO ARAGUAIA,PA,1/1/1980,
550,JATOBÁ,PE,1/1/1997,
551,SÃO MIGUEL DO GUAMÁ,PA,1/1/1980,
552,LAGOA GRANDE,PE,1/1/1997,
553,SÃO SEBASTIÃO DA BOA VISTA,PA,1/1/1980,
554,MANARI,PE,1/1/1997,
555,SENADOR JOSÉ PORFÍRIO,PA,1/1/1980,
556,SANTA FILOMENA,PE,1/1/1997,
557,SOURE,PA,1/1/1980,
558,TAMANDARÉ,PE,1/1/1997,
559,TOMÉ-AÇU,PA,1/1/1980,
560,CAMPESTRE,AL,1/1/1997,
561,TUCURUÍ,PA,1/1/1980,
562,JEQUIÁ DA PRAIA,AL,1/1/1997,
563,VIGIA,PA,1/1/1980,
564,ALTO CAPARAÓ,MG,1/1/1997,
565,VISEU,PA,1/1/1980,
566,ANGELÂNDIA,MG,1/1/1997,
567,REDENÇÃO,PA,31/1/1983,
568,ARICANDUVA,MG,1/1/1997,
569,RIO MARIA,PA,31/1/1983,
570,BERIZAL,MG,1/1/1997,
571,XINGUARA,PA,31/1/1983,
572,BONITO DE MINAS,MG,1/1/1997,
573,RONDON DO PARÁ,PA,1/2/1983,
574,BRASILÂNDIA DE MINAS,MG,1/1/1997,
575,BOM JESUS DO TOCANTINS,PA,1/1/1989,
576,BUGRE,MG,1/1/1997,
577,BREJO GRANDE DO ARAGUAIA,PA,1/1/1989,
578,CABECEIRA GRANDE,MG,1/1/1997,
579,CONCÓRDIA DO PARÁ,PA,1/1/1989,
580,CAMPO AZUL,MG,1/1/1997,
581,CURIONÓPOLIS,PA,1/1/1989,
582,CANTAGALO,MG,1/1/1997,
583,DOM ELISEU,PA,1/1/1989,
584,CATAS ALTAS,MG,1/1/1997,
585,GARRAFÃO DO NORTE,PA,1/1/1989,
586,CATUTI,MG,1/1/1997,
587,MÃE DO RIO,PA,1/1/1989,
588,CHAPADA GAÚCHA,MG,1/1/1997,
589,MEDICILÂNDIA,PA,1/1/1989,
590,CÔNEGO MARINHO,MG,1/1/1997,
591,OURILÂNDIA DO NORTE,PA,1/1/1989,
592,CONFINS,MG,1/1/1997,
593,PACAJÁ,PA,1/1/1989,
594,CÓRREGO FUNDO,MG,1/1/1997,
595,PARAUAPEBAS,PA,1/1/1989,
596,CRISÓLITA,MG,1/1/1997,
597,RURÓPOLIS,PA,1/1/1989,
598,CUPARAQUE,MG,1/1/1997,
599,SANTA MARIA DAS BARREIRAS,PA,1/1/1989,
600,CURRAL DE DENTRO,MG,1/1/1997,
601,AMAPÁ,AP,1/1/1980,
602,DELTA,MG,1/1/1997,
603,CALÇOENE,AP,1/1/1980,
604,DIVISA ALEGRE,MG,1/1/1997,
605,MACAPÁ,AP,1/1/1980,
606,DOM BOSCO,MG,1/1/1997,
607,MAZAGÃO,AP,1/1/1980,
608,FRANCISCÓPOLIS,MG,1/1/1997,
609,OIAPOQUE,AP,1/1/1980,
610,FREI LAGONEGRO,MG,1/1/1997,
611,FERREIRA GOMES,AP,1/1/1989,
612,FRUTA DE LEITE,MG,1/1/1997,
613,LARANJAL DO JARI,AP,1/1/1989,
614,GAMELEIRAS,MG,1/1/1997,
615,SANTANA,AP,1/1/1989,
616,GLAUCILÂNDIA,MG,1/1/1997,
617,TARTARUGALZINHO,AP,1/1/1989,
618,GOIABEIRA,MG,1/1/1997,
619,SÃO GERALDO DO ARAGUAIA,PA,1/1/1989,
620,GOIANÁ,MG,1/1/1997,
621,IPIXUNA DO PARÁ,PA,4/1/1993,
622,GUARACIAMA,MG,1/1/1997,
623,ULIANÓPOLIS,PA,23/6/1986,
624,IBIRACATU,MG,1/1/1997,
625,BREU BRANCO,PA,4/1/1993,
626,IMBÉ DE MINAS,MG,1/1/1997,
627,GOIANÉSIA DO PARÁ,PA,1/2/1983,
628,INDAIABIRA,MG,1/1/1997,
629,NOVO REPARTIMENTO,PA,4/1/1993,
630,JAPONVAR,MG,1/1/1997,
631,JACAREACANGA,PA,4/1/1993,
632,JENIPAPO DE MINAS,MG,1/1/1997,
633,NOVO PROGRESSO,PA,4/1/1993,
634,JOSÉ GONÇALVES DE MINAS,MG,1/1/1997,
635,TRAIRÃO,PA,4/1/1993,
636,JOSÉ RAYDAN,MG,1/1/1997,
637,TERRA SANTA,PA,1/1/1980,
638,JOSENÓPOLIS,MG,1/1/1997,
639,BRASIL NOVO,PA,4/1/1993,
640,JUVENÍLIA,MG,1/1/1997,
641,VITÓRIA DO XINGU,PA,1/1/1980,
642,LEME DO PRADO,MG,1/1/1997,
643,ACRELÂNDIA,AC,4/1/1993,
644,LUISBURGO,MG,1/1/1997,
645,BUJARI,AC,4/1/1993,
646,LUISLÂNDIA,MG,1/1/1997,
647,CAPIXABA,AC,4/1/1993,
648,MÁRIO CAMPOS,MG,1/1/1997,
649,PORTO ACRE,AC,1/1/1980,
650,MARTINS SOARES,MG,1/1/1997,
651,EPITACIOLÂNDIA,AC,4/1/1993,
652,MIRAVÂNIA,MG,1/1/1997,
653,JORDÃO,AC,1/1/1980,
654,MONTE FORMOSO,MG,1/1/1997,
655,MARECHAL THAUMATURGO,AC,1/1/1980,
656,NAQUE,MG,1/1/1997,
657,PORTO WALTER,AC,1/1/1980,
658,NATALÂNDIA,MG,1/1/1997,
659,RODRIGUES ALVES,AC,4/1/1993,
660,NINHEIRA,MG,1/1/1997,
661,SANTA ROSA DO PURUS,AC,4/1/1993,
662,NOVA BELÉM,MG,1/1/1997,
663,PEDRA BRANCA DO AMAPARI,AP,4/1/1993,
664,NOVA PORTEIRINHA,MG,1/1/1997,
665,SERRA DO NAVIO,AP,4/1/1993,
666,NOVO ORIENTE DE MINAS,MG,1/1/1997,
667,CUTIAS,AP,4/1/1993,
668,NOVORIZONTE,MG,1/1/1997,
669,ITAUBAL,AP,4/1/1993,
670,OLHOS-D'ÁGUA,MG,1/1/1997,
671,PORTO GRANDE,AP,1/1/1980,
672,ORATÓRIOS,MG,1/1/1997,
673,PRACUÚBA,AP,4/1/1993,
674,ORIZÂNIA,MG,1/1/1997,
675,ALTO PARAÍSO,RO,4/1/1993,
676,PADRE CARVALHO,MG,1/1/1997,
677,CACAULÂNDIA,RO,4/1/1993,
678,PAI PEDRO,MG,1/1/1997,
679,CAMPO NOVO DE RONDÔNIA,RO,4/1/1993,
680,PATIS,MG,1/1/1997,
681,CANDEIAS DO JAMARI,RO,4/1/1993,
682,PEDRA BONITA,MG,1/1/1997,
683,ITAPUÃ DO OESTE,RO,4/1/1993,
684,PERIQUITO,MG,1/1/1997,
685,MONTE NEGRO,RO,4/1/1993,
686,PIEDADE DE CARATINGA,MG,1/1/1997,
687,RIO CRESPO,RO,4/1/1993,
688,PINGO D'AGUA,MG,1/1/1997,
689,NOVO HORIZONTE DO OESTE,RO,4/1/1993,
690,PINTÓPOLIS,MG,1/1/1997,
691,CASTANHEIRAS,RO,4/1/1993,
692,PONTO CHIQUE,MG,1/1/1997,
693,GOVERNADOR JORGE TEIXEIRA,RO,4/1/1993,
694,PONTO DOS VOLANTES,MG,1/1/1997,
695,MINISTRO ANDREAZZA,RO,4/1/1993,
696,REDUTO,MG,1/1/1997,
697,MIRANTE DA SERRA,RO,4/1/1993,
698,ROSÁRIO DA LIMEIRA,MG,1/1/1997,
699,SERINGUEIRAS,RO,4/1/1993,
700,SANTA BÁRBARA DO MONTE VERDE,MG,1/1/1997,
701,AFONSO CUNHA,MA,1/1/1980,
702,SANTA CRUZ DE MINAS,MG,1/1/1997,
703,ALCÂNTARA,MA,1/1/1980,
704,SANTA CRUZ DE SALINAS,MG,1/1/1997,
705,ALDEIAS ALTAS,MA,1/1/1980,
706,SANTA HELENA DE MINAS,MG,1/1/1997,
707,ALTAMIRA DO MARANHÃO,MA,1/1/1980,
708,SANTO ANTÔNIO DO RETIRO,MG,1/1/1997,
709,ALTO PARNAÍBA,MA,1/1/1980,
710,SÃO DOMINGOS DAS DORES,MG,1/1/1997,
711,AMARANTE DO MARANHÃO,MA,1/1/1980,
712,SÃO FÉLIX DE MINAS,MG,1/1/1997,
713,ANAJATUBA,MA,1/1/1980,
714,SÃO GERALDO DO BAIXIO,MG,1/1/1997,
715,ANAPURUS,MA,1/1/1980,
716,SÃO JOÃO DA LAGOA,MG,1/1/1997,
717,ARAIOSES,MA,1/1/1980,
718,SÃO JOÃO DAS MISSÕES,MG,1/1/1997,
719,ARARI,MA,1/1/1980,
720,SÃO JOÃO DO PACUÍ,MG,1/1/1997,
721,AXIXÁ,MA,1/1/1980,
722,SÃO JOAQUIM DE BICAS,MG,1/1/1997,
723,BACABAL,MA,1/1/1980,
724,SÃO JOSÉ DA BARRA,MG,1/1/1997,
725,BACURI,MA,1/1/1980,
726,SÃO SEBASTIÃO DA VARGEM ALEGRE,MG,1/1/1997,
727,BALSAS,MA,1/1/1980,
728,SÃO SEBASTIÃO DO ANTA,MG,1/1/1997,
729,BARÃO DE GRAJAÚ,MA,1/1/1980,
730,SARZEDO,MG,1/1/1997,
731,BARRA DO CORDA,MA,1/1/1980,
732,SETUBINHA,MG,1/1/1997,
733,BARREIRINHAS,MA,1/1/1980,
734,SEM-PEIXE,MG,1/1/1997,
735,BENEDITO LEITE,MA,1/1/1980,
736,SERRANÓPOLIS DE MINAS,MG,1/1/1997,
737,BEQUIMÃO,MA,1/1/1980,
738,TAPARUBA,MG,1/1/1997,
739,BREJO,MA,1/1/1980,
740,TOCOS DO MOJI,MG,1/1/1997,
741,BURITI,MA,1/1/1980,
742,UNIÃO DE MINAS,MG,1/1/1997,
743,BURITI BRAVO,MA,1/1/1980,
744,URUANA DE MINAS,MG,1/1/1997,
745,CAJAPIÓ,MA,1/1/1980,
746,VARGEM ALEGRE,MG,1/1/1997,
747,CAJARI,MA,1/1/1980,
748,VARGEM GRANDE DO RIO PARDO,MG,1/1/1997,
749,CÂNDIDO MENDES,MA,1/1/1980,
750,VARJÃO DE MINAS,MG,1/1/1997,
751,CANTANHEDE,MA,1/1/1980,
752,VERDELÂNDIA,MG,1/1/1997,
753,CAROLINA,MA,1/1/1980,
754,VEREDINHA,MG,1/1/1997,
755,CARUTAPERA,MA,1/1/1980,
756,VERMELHO NOVO,MG,1/1/1997,
757,CAXIAS,MA,1/1/1980,
758,BREJETUBA,ES,1/1/1997,
759,CEDRAL,MA,1/1/1980,
760,MARATAÍZES,ES,1/1/1997,
761,CHAPADINHA,MA,1/1/1980,
762,PONTO BELO,ES,1/1/1997,
763,CODÓ,MA,1/1/1980,
764,SÃO ROQUE DO CANAÃ,ES,1/1/1997,
765,COELHO NETO,MA,1/1/1980,
766,SOORETAMA,ES,1/1/1997,
767,COLINAS,MA,1/1/1980,
768,VILA VALÉRIO,ES,1/1/1997,
769,COROATÁ,MA,1/1/1980,
770,Armação dos Búzios,RJ,1/1/1997,
771,CURURUPU,MA,1/1/1980,
772,CARAPEBUS,RJ,1/1/1997,
773,DOM PEDRO,MA,1/1/1980,
774,IGUABA GRANDE,RJ,1/1/1997,
775,DUQUE BACELAR,MA,1/1/1980,
776,MACUCO,RJ,1/1/1997,
777,ESPERANTINÓPOLIS,MA,1/1/1980,
778,PINHEIRAL,RJ,1/1/1997,
779,FORTALEZA DOS NOGUEIRAS,MA,1/1/1980,
780,PORTO REAL,RJ,1/1/1997,
781,FORTUNA,MA,1/1/1980,
782,SÃO FRANCISCO DE ITABAPOANA,RJ,1/1/1997,
783,GODOFREDO VIANA,MA,1/1/1980,
784,SÃO JOSÉ DE UBÁ,RJ,1/1/1997,
785,GONÇALVES DIAS,MA,1/1/1980,
786,SEROPÉDICA,RJ,1/1/1997,
787,GOVERNADOR ARCHER,MA,1/1/1980,
788,TANGUÁ,RJ,1/1/1997,
789,GOVERNADOR EUGÊNIO BARROS,MA,1/1/1980,
790,ARCO-ÍRIS,SP,1/1/1997,
791,GRAÇA ARANHA,MA,1/1/1980,
792,BREJO ALEGRE,SP,1/1/1997,
793,GRAJAÚ,MA,1/1/1980,
794,CANAS,SP,1/1/1997,
795,GUIMARÃES,MA,1/1/1980,
796,FERNÃO,SP,1/1/1997,
797,HUMBERTO DE CAMPOS,MA,1/1/1980,
798,GAVIÃO PEIXOTO,SP,1/1/1997,
799,ICATU,MA,1/1/1980,
800,IPIGUÁ,SP,1/1/1997,
801,IGARAPÉ GRANDE,MA,1/1/1980,
802,JUMIRIM,SP,1/1/1997,
803,IMPERATRIZ,MA,1/1/1980,
804,NANTES,SP,1/1/1997,
805,SÃO LUÍS GONZAGA DO MARANHÃO,MA,1/1/1980,
806,NOVA CASTILHO,SP,1/1/1997,
807,ITAPECURU MIRIM,MA,1/1/1980,
808,OUROESTE,SP,1/1/1997,
809,JOÃO LISBOA,MA,1/1/1980,
810,PAULISTÂNIA,SP,1/1/1997,
811,JOSELÂNDIA,MA,1/1/1980,
812,PRACINHA,SP,1/1/1997,
813,LAGO DA PEDRA,MA,1/1/1980,
814,PRATÂNIA,SP,1/1/1997,
815,LAGO DO JUNCO,MA,1/1/1980,
816,QUADRA,SP,1/1/1997,
817,LAGO VERDE,MA,1/1/1980,
818,RIBEIRÃO DOS ÍNDIOS,SP,1/1/1997,
819,LIMA CAMPOS,MA,1/1/1980,
820,SANTA CRUZ DA ESPERANÇA,SP,1/1/1997,
821,LORETO,MA,1/1/1980,
822,SANTA SALETE,SP,1/1/1997,
823,LUÍS DOMINGUES,MA,1/1/1980,
824,TAQUARAL,SP,1/1/1997,
825,MAGALHÃES DE ALMEIDA,MA,1/1/1980,
826,TRABIJU,SP,1/1/1997,
827,MATA ROMA,MA,1/1/1980,
828,VITÓRIA BRASIL,SP,1/1/1997,
829,MATINHA,MA,1/1/1980,
830,ARAPUÃ,PR,1/1/1997,
831,MATÕES,MA,1/1/1980,
832,ARIRANHA DO IVAÍ,PR,1/1/1997,
833,MIRADOR,MA,1/1/1980,
834,Bela Vista da Caroba,PR,1/1/1997,
835,MIRINZAL,MA,1/1/1980,
836,BOA VENTURA DE SÃO ROQUE,PR,1/1/1997,
837,MONÇÃO,MA,1/1/1980,
838,BOM JESUS DO SUL,PR,1/1/1997,
839,MONTES ALTOS,MA,1/1/1980,
840,CAMPINA DO SIMÃO,PR,1/1/1997,
841,MORROS,MA,1/1/1980,
842,CAMPO MAGRO,PR,1/1/1997,
843,NINA RODRIGUES,MA,1/1/1980,
844,CARAMBEÍ,PR,1/1/1997,
845,NOVA IORQUE,MA,1/1/1980,
846,CORONEL DOMINGOS SOARES,PR,1/1/1997,
847,OLHO D'ÁGUA DAS CUNHÃS,MA,1/1/1980,
848,CRUZMALTINA,PR,1/1/1997,
849,PAÇO DO LUMIAR,MA,1/1/1980,
850,ESPERANÇA NOVA,PR,1/1/1997,
851,PALMEIRÂNDIA,MA,1/1/1980,
852,ESPIGÃO ALTO DO IGUAÇU,PR,1/1/1997,
853,PARAIBANO,MA,1/1/1980,
854,FERNANDES PINHEIRO,PR,1/1/1997,
855,PARNARAMA,MA,1/1/1980,
856,FOZ DO JORDÃO,PR,1/1/1997,
857,PASSAGEM FRANCA,MA,1/1/1980,
858,GOIOXIM,PR,1/1/1997,
859,PASTOS BONS,MA,1/1/1980,
860,GUAMIRANGA,PR,1/1/1997,
861,PEDREIRAS,MA,1/1/1980,
862,IMBAÚ,PR,1/1/1997,
863,PENALVA,MA,1/1/1980,
864,MANFRINÓPOLIS,PR,1/1/1997,
865,PERI MIRIM,MA,1/1/1980,
866,MARQUINHO,PR,1/1/1997,
867,PINDARE MIRIM,MA,1/1/1980,
868,PEROBAL,PR,1/1/1997,
869,PINHEIRO,MA,1/1/1980,
870,PONTAL DO PARANÁ,PR,1/1/1997,
871,PIO XII,MA,1/1/1980,
872,PORTO BARREIRO,PR,1/1/1997,
873,PIRAPEMAS,MA,1/1/1980,
874,PRADO FERREIRA,PR,1/1/1997,
875,POÇÃO DE PEDRAS,MA,1/1/1980,
876,QUARTO CENTENÁRIO,PR,1/1/1997,
877,PORTO FRANCO,MA,1/1/1980,
878,RESERVA DO IGUAÇU,PR,1/1/1997,
879,PRESIDENTE DUTRA,MA,1/1/1980,
880,RIO BRANCO DO IVAÍ,PR,1/1/1997,
881,PRESIDENTE JUSCELINO,MA,1/1/1980,
882,SERRANÓPOLIS DO IGUAÇU,PR,1/1/1997,
883,PRESIDENTE VARGAS,MA,1/1/1980,
884,TAMARANA,PR,1/1/1997,
885,PRIMEIRA CRUZ,MA,1/1/1980,
886,ALTO BELA VISTA,SC,1/1/1997,
887,RIACHÃO,MA,1/1/1980,
888,BALNEÁRIO ARROIO DO SILVA,SC,1/1/1997,
889,SÃO JOSÉ DE RIBAMAR,MA,4/1/1993,
890,BALNEÁRIO GAIVOTA,SC,1/1/1997,
891,ROSÁRIO,MA,1/1/1980,
892,BANDEIRANTE,SC,1/1/1997,
893,SAMBAÍBA,MA,1/1/1980,
894,BARRA BONITA,SC,1/1/1997,
895,SANTA HELENA,MA,1/1/1980,
896,BELA VISTA DO TOLDO,SC,1/1/1997,
897,SANTA LUZIA,MA,1/1/1980,
898,BOCAINA DO SUL,SC,1/1/1997,
899,SANTA QUITÉRIA DO MARANHÃO,MA,1/1/1980,
900,BOM JESUS,SC,1/1/1997,
901,SANTA RITA,MA,1/1/1980,
902,BOM JESUS DO OESTE,SC,1/1/1997,
903,SANTO ANTÔNIO DOS LOPES,MA,1/1/1980,
904,BRUNÓPOLIS,SC,1/1/1997,
905,SÃO BENEDITO DO RIO PRETO,MA,1/1/1980,
906,CAPÃO ALTO,SC,1/1/1997,
907,SÃO BENTO,MA,1/1/1980,
908,CHAPADÃO DO LAGEADO,SC,1/1/1997,
909,SÃO BERNARDO,MA,1/1/1980,
910,CUNHATAÍ,SC,1/1/1997,
911,SÃO DOMINGOS DO MARANHÃO,MA,1/1/1980,
912,ENTRE RIOS,SC,1/1/1997,
913,SÃO FÉLIX DE BALSAS,MA,1/1/1980,
914,ERMO,SC,1/1/1997,
915,SÃO FRANCISCO DO MARANHÃO,MA,1/1/1980,
916,FLOR DO SERTÃO,SC,1/1/1997,
917,SÃO JOÃO BATISTA,MA,1/1/1980,
918,FREI ROGÉRIO,SC,1/1/1997,
919,SÃO JOÃO DOS PATOS,MA,1/1/1980,
920,IBIAM,SC,1/1/1997,
921,SÃO LUÍS,MA,1/1/1980,
922,IOMERÊ,SC,1/1/1997,
923,SÃO MATEUS DO MARANHÃO,MA,1/1/1980,
924,JUPIÁ,SC,1/1/1997,
925,SÃO RAIMUNDO DAS MANGABEIRAS,MA,1/1/1980,
926,LUZERNA,SC,1/1/1997,
927,SÃO VICENTE FERRER,MA,1/1/1980,
928,PAIAL,SC,1/1/1997,
929,SÍTIO NOVO,MA,1/1/1980,
930,PAINEL,SC,1/1/1997,
931,SUCUPIRA DO NORTE,MA,1/1/1980,
932,PALMEIRA,SC,1/1/1997,
933,TASSO FRAGOSO,MA,1/1/1980,
934,PRINCESA,SC,1/1/1997,
935,TIMBIRAS,MA,1/1/1980,
936,SALTINHO,SC,1/1/1997,
937,TIMON,MA,1/1/1980,
938,SANTA TEREZINHA DO PROGRESSO,SC,1/1/1997,
939,TUNTUM,MA,1/1/1980,
940,SANTIAGO DO SUL,SC,1/1/1997,
941,TURIAÇU,MA,1/1/1980,
942,SÃO BERNARDINO,SC,1/1/1997,
943,TUTÓIA,MA,1/1/1980,
944,SÃO PEDRO DE ALCÂNTARA,SC,1/1/1997,
945,URBANO SANTOS,MA,1/1/1980,
946,TIGRINHOS,SC,1/1/1997,
947,VARGEM GRANDE,MA,1/1/1980,
948,TREVISO,SC,1/1/1997,
949,VIANA,MA,1/1/1980,
950,ZORTÉA,SC,1/1/1997,
951,VITÓRIA DO MEARIM,MA,1/1/1980,
952,ARARICÁ,RS,1/1/1997,
953,VITORINO FREIRE,MA,1/1/1980,
954,BALNEÁRIO PINHAL,RS,1/1/1997,
955,BOM JARDIM,MA,1/1/1980,
956,BARRA DO QUARAÍ,RS,1/1/1997,
957,SANTA INÊS,MA,1/1/1980,
958,BENJAMIN CONSTANT DO SUL,RS,1/1/1997,
959,PAULO RAMOS,MA,1/1/1980,
960,BOA VISTA DO SUL,RS,1/1/1997,
961,AÇAILÂNDIA,MA,1/2/1983,
962,CAPIVARI DO SUL,RS,1/1/1997,
963,ESTREITO,MA,1/2/1983,
964,CARAÁ,RS,1/1/1997,
965,CAREIRO DA VÁRZEA,AM,1/1/1989,
966,CERRITO,RS,1/1/1997,
967,GUAJARÁ,AM,1/1/1989,
968,CHUÍ,RS,1/1/1997,
969,APUÍ,AM,1/1/1989,
970,CHUVISCA,RS,1/1/1997,
971,TEOTÔNIO VILELA,AL,1/1/1989,
972,CRISTAL DO SUL,RS,1/1/1997,
973,FORQUILHINHA,SC,10/5/1990,
974,DILERMANDO DE AGUIAR,RS,1/1/1997,
975,THEOBROMA,RO,4/1/1993,
976,DOM PEDRO DE ALCÂNTARA,RS,1/1/1997,
977,URUPÁ,RO,4/1/1993,
978,DOUTOR RICARDO,RS,1/1/1997,
979,VALE DO PARAÍSO,RO,4/1/1993,
980,ESPERANÇA DO SUL,RS,1/1/1997,
981,CORUMBIARA,RO,4/1/1993,
982,ESTRELA VELHA,RS,1/1/1997,
983,CATUNDA,CE,1/1/1980,
984,FAZENDA VILANOVA,RS,1/1/1997,
985,JIJOCA DE JERICOACOARA,CE,10/5/1990,
986,FLORIANO PEIXOTO,RS,1/1/1997,
987,FORTIM,CE,1/1/1980,
988,HERVEIRAS,RS,1/1/1997,
989,ARARENDÁ,CE,1/1/1980,
990,ITAARA,RS,1/1/1997,
991,ITAITINGA,CE,4/1/1993,
992,JARI,RS,1/1/1997,
993,CHORÓ,CE,1/1/1980,
994,MAÇAMBARA,RS,1/1/1997,
995,COIVARAS,PI,4/1/1993,
996,MAMPITUBA,RS,1/1/1997,
997,JARDIM DO MULATO,PI,4/1/1993,
998,MARQUES DE SOUZA,RS,1/1/1997,
999,LAGOA ALEGRE,PI,4/1/1993,
1000,MONTE ALEGRE DOS CAMPOS,RS,1/1/1997,
1001,AGRICOLÂNDIA,PI,1/1/1980,
1002,MUITOS CAPÕES,RS,1/1/1997,
1003,ÁGUA BRANCA,PI,1/1/1980,
1004,NOVA CANDELÁRIA,RS,1/1/1997,
1005,ALTO LONGÁ,PI,1/1/1980,
1006,NOVA RAMADA,RS,1/1/1997,
1007,ALTOS,PI,1/1/1980,
1008,NOVO CABRAIS,RS,1/1/1997,
1009,AMARANTE,PI,1/1/1980,
1010,PASSA SETE,RS,1/1/1997,
1011,ANGICAL DO PIAUÍ,PI,1/1/1980,
1012,SENADOR SALGADO FILHO,RS,1/1/1997,
1013,ANÍSIO DE ABREU,PI,1/1/1980,
1014,SETE DE SETEMBRO,RS,1/1/1997,
1015,ANTÔNIO ALMEIDA,PI,1/1/1980,
1016,TABAÍ,RS,1/1/1997,
1017,AROAZES,PI,1/1/1980,
1018,TOROPI,RS,1/1/1997,
1019,ARRAIAL,PI,1/1/1980,
1020,TURUÇU,RS,1/1/1997,
1021,AVELINO LOPES,PI,1/1/1980,
1022,UBIRETAMA,RS,1/1/1997,
1023,BARRAS,PI,1/1/1980,
1024,UNISTALDA,RS,1/1/1997,
1025,BARREIRAS DO PIAUÍ,PI,1/1/1980,
1026,VALE VERDE,RS,1/1/1997,
1027,BARRO DURO,PI,1/1/1980,
1028,VESPASIANO CORREA,RS,1/1/1997,
1029,BATALHA,PI,1/1/1980,
1030,VILA LÂNGARO,RS,1/1/1997,
1031,BENEDITINOS,PI,1/1/1980,
1032,CAMPOS DE JÚLIO,MT,1/1/1997,
1033,BERTOLÍNIA,PI,1/1/1980,
1034,CARLINDA,MT,1/1/1997,
1035,BOCAINA,PI,1/1/1980,
1036,FELIZ NATAL,MT,1/1/1997,
1037,BOM JESUS,PI,1/1/1980,
1038,GAÚCHA DO NORTE,MT,1/1/1997,
1039,BURITI DOS LOPES,PI,1/1/1980,
1040,NOVA LACERDA,MT,1/1/1997,
1041,CAMPINAS DO PIAUÍ,PI,1/1/1980,
1042,NOVA UBIRATÃ,MT,1/1/1997,
1043,CAMPO MAIOR,PI,1/1/1980,
1044,NOVO MUNDO,MT,1/1/1997,
1045,CANTO DO BURITI,PI,1/1/1980,
1046,SAPEZAL,MT,1/1/1997,
1047,CAPITÃO DE CAMPOS,PI,1/1/1980,
1048,UNIÃO DO SUL,MT,1/1/1997,
1049,CARACOL,PI,1/1/1980,
1050,ABADIA DE GOIÁS,GO,1/1/1997,
1051,CASTELO DO PIAUÍ,PI,1/1/1980,
1052,ÁGUAS LINDAS DE GOIÁS,GO,1/1/1997,
1053,COCAL,PI,1/1/1980,
1054,AMARALINA,GO,1/1/1997,
1055,CONCEIÇÃO DO CANINDÉ,PI,1/1/1980,
1056,BONÓPOLIS,GO,1/1/1997,
1057,CORRENTE,PI,1/1/1980,
1058,NOVO GAMA,GO,1/1/1997,
1059,CRISTALÂNDIA DO PIAUÍ,PI,1/1/1980,
1060,PORTEIRÃO,GO,1/1/1997,
1061,CRISTINO CASTRO,PI,1/1/1980,
1062,SANTA RITA DO NOVO DESTINO,GO,1/1/1997,
1063,CURIMATÁ,PI,1/1/1980,
1064,SÃO PATRÍCIO,GO,1/1/1997,
1065,DEMERVAL LOBÃO,PI,1/1/1980,
1066,VALPARAÍSO DE GOIÁS,GO,1/1/1997,
1067,DOM EXPEDITO LOPES,PI,1/1/1980,
1068,VILA PROPÍCIO,GO,1/1/1997,
1069,ELESBÃO VELOSO,PI,1/1/1980,
1070,CAMPO LIMPO DE GOIÁS,GO,1/1/2001,
1071,ELISEU MARTINS,PI,1/1/1980,
1072,GAMELEIRA DE GOIÁS,GO,1/1/2001,
1073,ESPERANTINA,PI,1/1/1980,
1074,IPIRANGA DE GOIÁS,GO,1/1/2001,
1075,FLORES DO PIAUÍ,PI,1/1/1980,
1076,LAGOA SANTA,GO,1/1/2001,
1077,FLORIANO,PI,1/1/1980,
1078,BOM JESUS DO ARAGUAIA,MT,1/1/2001,
1079,FRANCINÓPOLIS,PI,1/1/1980,
1080,COLNIZA,MT,1/1/2001,
1081,FRANCISCO AYRES,PI,1/1/1980,
1082,CONQUISTA D'OESTE,MT,1/1/2001,
1083,FRANCISCO SANTOS,PI,1/1/1980,
1084,CURVELÂNDIA,MT,1/1/2001,
1085,FRONTEIRAS,PI,1/1/1980,
1086,NOVA NAZARÉ,MT,1/1/2001,
1087,GILBUÉS,PI,1/1/1980,
1088,NOVA SANTA HELENA,MT,1/1/2001,
1089,GUADALUPE,PI,1/1/1980,
1090,NOVO SANTO ANTÔNIO,MT,1/1/2001,
1091,HUGO NAPOLEÃO,PI,1/1/1980,
1092,RONDOLÂNDIA,MT,1/1/2001,
1093,INHUMA,PI,1/1/1980,
1094,SANTA CRUZ DO XINGU,MT,1/1/2001,
1095,IPIRANGA DO PIAUÍ,PI,1/1/1980,
