MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
124,BERNARDO DO MEARIM,MA,1/1/1997,
125,TABAPORÃ,MT,1/1/1988,
126,BOA VISTA DO GURUPI,MA,1/1/1997,
127,ALTO BOA VISTA,MT,1/1/1980,
128,BOM JESUS DAS SELVAS,MA,1/1/1997,
129,CANABRAVA DO NORTE,MT,4/1/1993,
130,BOM LUGAR,MA,1/1/1997,
131,CONFRESA,MT,4/1/1993,
132,BREJO DE AREIA,MA,1/1/1997,
133,SÃO JOSÉ DO XINGU,MT,18/2/1982,
134,BURITICUPU,MA,1/1/1997,
135,GLÓRIA D'OESTE,MT,4/1/1993,
136,BURITIRANA,MA,1/1/1997,
137,LAMBARI D'OESTE,MT,4/1/1993,
138,CACHOEIRA GRANDE,MA,1/1/1997,
139,RIO BRANCO,AC,1/1/1980,
140,CAMPESTRE DO MARANHÃO,MA,1/1/1997,
141,ALCINÓPOLIS,MS,17/6/1981,
142,CAPINZAL DO NORTE,MA,1/1/1997,
143,NOVA ALVORADA DO SUL,MS,1/1/1980,
144,CENTRAL DO MARANHÃO,MA,1/1/1997,
145,SENA MADUREIRA,AC,1/1/1980,
146,CENTRO DO GUILHERME,MA,1/1/1997,
147,TARAUACÁ,AC,1/1/1980,
148,CENTRO NOVO DO MARANHÃO,MA,1/1/1997,
149,XAPURI,AC,1/1/1980,
150,CIDELÂNDIA,MA,1/1/1997,
151,PLÁCIDO DE CASTRO,AC,1/1/1980,
152,CONCEIÇÃO DO LAGO-AÇU,MA,1/1/1997,
153,SENADOR GUIOMARD,AC,1/1/1980,
154,DAVINÓPOLIS,MA,1/1/1997,
155,MANOEL URBANO,AC,1/1/1980,
156,FEIRA NOVA DO MARANHÃO,MA,1/1/1997,
157,ASSIS BRASIL,AC,1/1/1980,
158,FERNANDO FALCÃO,MA,1/1/1997,
159,NOVO HORIZONTE DO SUL,MS,4/1/1993,
160,FORMOSA DA SERRA NEGRA,MA,1/1/1997,
161,JAPORÃ,MS,22/6/1981,
162,GOVERNADOR EDISON LOBÃO,MA,1/1/1997,
163,LAGUNA CARAPÃ,MS,1/1/1980,
164,GOVERNADOR LUIZ ROCHA,MA,1/1/1997,
165,ANGICO,TO,4/1/1993,
166,GOVERNADOR NEWTON BELLO,MA,1/1/1997,
167,ARAGOMINAS,TO,10/5/1990,
168,GOVERNADOR NUNES FREIRE,MA,1/1/1997,
169,ARAGUANÃ,TO,1/1/1989,
170,IGARAPÉ DO MEIO,MA,1/1/1997,
171,CACHOEIRINHA,TO,1/1/1989,
